code,time,year,month,day,wind_direction,wind_speed
723090-13754,2023-01-01T00:00:00Z,2023,1,1,226.6944580961164,6.95
723090-13754,2023-01-01T01:00:00Z,2023,1,1,224.62592089927674,6.7
723090-13754,2023-01-01T02:00:00Z,2023,1,1,223.0555079187265,4.466666666666667
723090-13754,2023-01-01T03:00:00Z,2023,1,1,220,3.1
723090-13754,2023-01-01T04:00:00Z,2023,1,1,220,3.1
723090-13754,2023-01-01T05:00:00Z,2023,1,1,230,3.4333333333333336
723090-13754,2023-01-01T06:00:00Z,2023,1,1,243.32956305530226,3.1
723090-13754,2023-01-01T07:00:00Z,2023,1,1,280,2.1
723090-13754,2023-01-01T08:00:00Z,2023,1,1,273.12844103449874,2.7666666666666666
723090-13754,2023-01-01T09:00:00Z,2023,1,1,280,3.6
723090-13754,2023-01-01T10:00:00Z,2023,1,1,280,2.6
723090-13754,2023-01-01T11:00:00Z,2023,1,1,280,2.1
723090-13754,2023-01-01T12:00:00Z,2023,1,1,209.99999999999997,1.5
723090-13754,2023-01-01T13:00:00Z,2023,1,1,245.5772816429556,2.05
723090-13754,2023-01-01T14:00:00Z,2023,1,1,260,2.6
723090-13754,2023-01-01T15:00:00Z,2023,1,1,270,3.1
723090-13754,2023-01-01T16:00:00Z,2023,1,1,300,3.1
723090-13754,2023-01-01T17:00:00Z,2023,1,1,330,4.1
723090-13754,2023-01-01T18:00:00Z,2023,1,1,310,3.6
723090-13754,2023-01-01T19:00:00Z,2023,1,1,340,2.6
723090-13754,2023-01-01T20:00:00Z,2023,1,1,NA,0
723090-13754,2023-01-01T21:00:00Z,2023,1,1,209.99999999999997,1.5
723090-13754,2023-01-01T22:00:00Z,2023,1,1,119.99999999999999,1.5
723090-13754,2023-01-01T23:00:00Z,2023,1,1,NA,0
723090-13754,2023-01-02T00:00:00Z,2023,1,2,239.99999999999994,2.1
723090-13754,2023-01-02T01:00:00Z,2023,1,2,220,1.5
723090-13754,2023-01-02T02:00:00Z,2023,1,2,NA,0
723090-13754,2023-01-02T03:00:00Z,2023,1,2,NA,0
723090-13754,2023-01-02T04:00:00Z,2023,1,2,NA,0
723090-13754,2023-01-02T05:00:00Z,2023,1,2,NA,0
723090-13754,2023-01-02T06:00:00Z,2023,1,2,NA,0
723090-13754,2023-01-02T07:00:00Z,2023,1,2,NA,0
723090-13754,2023-01-02T08:00:00Z,2023,1,2,260,0.21428571428571427
723090-13754,2023-01-02T09:00:00Z,2023,1,2,233.32956305530232,0.5625
723090-13754,2023-01-02T10:00:00Z,2023,1,2,NA,0
723090-13754,2023-01-02T11:00:00Z,2023,1,2,160,0.13636363636363635
723090-13754,2023-01-02T12:00:00Z,2023,1,2,NA,0
723090-13754,2023-01-02T13:00:00Z,2023,1,2,267.5570273382947,0.9
723090-13754,2023-01-02T14:00:00Z,2023,1,2,243.67506201409913,1.7
723090-13754,2023-01-02T15:00:00Z,2023,1,2,246.783807987481,1.42
723090-13754,2023-01-02T16:00:00Z,2023,1,2,NA,1.5
723090-13754,2023-01-02T17:00:00Z,2023,1,2,230,3.1
723090-13754,2023-01-02T18:00:00Z,2023,1,2,249.99999999999994,3.6
723090-13754,2023-01-02T19:00:00Z,2023,1,2,249.99999999999994,2.6
723090-13754,2023-01-02T20:00:00Z,2023,1,2,239.99999999999994,2.6
723090-13754,2023-01-02T21:00:00Z,2023,1,2,209.99999999999997,1.5
723090-13754,2023-01-02T22:00:00Z,2023,1,2,190,2.1
723090-13754,2023-01-02T23:00:00Z,2023,1,2,190,2.1
723090-13754,2023-01-03T00:00:00Z,2023,1,3,NA,0
723090-13754,2023-01-03T01:00:00Z,2023,1,3,218.21772945902472,1.7
723090-13754,2023-01-03T02:00:00Z,2023,1,3,230,2.1
723090-13754,2023-01-03T03:00:00Z,2023,1,3,227.59225315425445,2.2
723090-13754,2023-01-03T04:00:00Z,2023,1,3,151.7833311629367,1.2555555555555555
723090-13754,2023-01-03T05:00:00Z,2023,1,3,213.61036531300314,1.1571428571428573
723090-13754,2023-01-03T06:00:00Z,2023,1,3,243.12844103449874,2.075
723090-13754,2023-01-03T07:00:00Z,2023,1,3,220,3.1
723090-13754,2023-01-03T08:00:00Z,2023,1,3,220,2.1
723090-13754,2023-01-03T09:00:00Z,2023,1,3,NA,0
723090-13754,2023-01-03T10:00:00Z,2023,1,3,NA,0
723090-13754,2023-01-03T11:00:00Z,2023,1,3,NA,0
723090-13754,2023-01-03T12:00:00Z,2023,1,3,134.164604007647,0.6
723090-13754,2023-01-03T13:00:00Z,2023,1,3,180,2.1
723090-13754,2023-01-03T14:00:00Z,2023,1,3,190,3.6
723090-13754,2023-01-03T15:00:00Z,2023,1,3,200,3.1
723090-13754,2023-01-03T16:00:00Z,2023,1,3,220,7.2
723090-13754,2023-01-03T17:00:00Z,2023,1,3,230,7.7
723090-13754,2023-01-03T18:00:00Z,2023,1,3,230,7.7
723090-13754,2023-01-03T19:00:00Z,2023,1,3,209.99999999999997,7.7
723090-13754,2023-01-03T20:00:00Z,2023,1,3,200,6.2
723090-13754,2023-01-03T21:00:00Z,2023,1,3,209.99999999999997,4.1
723090-13754,2023-01-03T22:00:00Z,2023,1,3,190,3.1
723090-13754,2023-01-03T23:00:00Z,2023,1,3,199.99999999999997,4.1
723090-13754,2023-01-04T00:00:00Z,2023,1,4,209.99999999999997,4.6
723090-13754,2023-01-04T01:00:00Z,2023,1,4,199.99999999999997,3.6
723090-13754,2023-01-04T02:00:00Z,2023,1,4,209.99999999999997,3.1
723090-13754,2023-01-04T03:00:00Z,2023,1,4,199.99999999999997,4.1
723090-13754,2023-01-04T04:00:00Z,2023,1,4,209.99999999999997,3.1
723090-13754,2023-01-04T05:00:00Z,2023,1,4,209.99999999999997,2.1
723090-13754,2023-01-04T06:00:00Z,2023,1,4,220,2.35
723090-13754,2023-01-04T07:00:00Z,2023,1,4,189.11386085337017,2.85
723090-13754,2023-01-04T08:00:00Z,2023,1,4,190,2.1
723090-13754,2023-01-04T09:00:00Z,2023,1,4,180,4.4
723090-13754,2023-01-04T10:00:00Z,2023,1,4,209.99999999999997,5.7
723090-13754,2023-01-04T11:00:00Z,2023,1,4,220,4.85
723090-13754,2023-01-04T12:00:00Z,2023,1,4,225.0383687732975,4.8
723090-13754,2023-01-04T13:00:00Z,2023,1,4,220,4.9
723090-13754,2023-01-04T14:00:00Z,2023,1,4,209.99999999999997,3.6
723090-13754,2023-01-04T15:00:00Z,2023,1,4,209.99999999999997,4.85
723090-13754,2023-01-04T16:00:00Z,2023,1,4,213.33016622313204,6.666666666666666
723090-13754,2023-01-04T17:00:00Z,2023,1,4,213.26096040972456,7.9125000000000005
723090-13754,2023-01-04T18:00:00Z,2023,1,4,199.28275855521292,6.8500000000000005
723090-13754,2023-01-04T19:00:00Z,2023,1,4,229.54448752583642,9.25
723090-13754,2023-01-04T20:00:00Z,2023,1,4,232.82308819129287,7.75
723090-13754,2023-01-04T21:00:00Z,2023,1,4,199.99999999999997,4.1
723090-13754,2023-01-04T22:00:00Z,2023,1,4,199.99999999999997,5.1
723090-13754,2023-01-04T23:00:00Z,2023,1,4,190,3.6
723090-13754,2023-01-05T00:00:00Z,2023,1,5,190,3.6
723090-13754,2023-01-05T01:00:00Z,2023,1,5,199.99999999999997,4.6
723090-13754,2023-01-05T02:00:00Z,2023,1,5,199.99999999999997,5.1
723090-13754,2023-01-05T03:00:00Z,2023,1,5,220,7.2
723090-13754,2023-01-05T04:00:00Z,2023,1,5,220,5.1
723090-13754,2023-01-05T05:00:00Z,2023,1,5,220,5.1
723090-13754,2023-01-05T06:00:00Z,2023,1,5,220,3.6
723090-13754,2023-01-05T07:00:00Z,2023,1,5,230,4.1
723090-13754,2023-01-05T08:00:00Z,2023,1,5,239.34400322348688,3.8499999999999996
723090-13754,2023-01-05T09:00:00Z,2023,1,5,230,2.6
723090-13754,2023-01-05T10:00:00Z,2023,1,5,209.99999999999997,2.6
723090-13754,2023-01-05T11:00:00Z,2023,1,5,270,4.766666666666667
723090-13754,2023-01-05T12:00:00Z,2023,1,5,280,4.1
723090-13754,2023-01-05T13:00:00Z,2023,1,5,270,2.6
723090-13754,2023-01-05T14:00:00Z,2023,1,5,260,4.15
723090-13754,2023-01-05T15:00:00Z,2023,1,5,249.99999999999994,5.1
723090-13754,2023-01-05T16:00:00Z,2023,1,5,249.99999999999994,5.1
723090-13754,2023-01-05T17:00:00Z,2023,1,5,209.99999999999997,5.7
723090-13754,2023-01-05T18:00:00Z,2023,1,5,209.99999999999997,5.1
723090-13754,2023-01-05T19:00:00Z,2023,1,5,230,4.6
723090-13754,2023-01-05T20:00:00Z,2023,1,5,260,7.7
723090-13754,2023-01-05T21:00:00Z,2023,1,5,209.99999999999997,3.1
723090-13754,2023-01-05T22:00:00Z,2023,1,5,190,2.6
723090-13754,2023-01-05T23:00:00Z,2023,1,5,209.99999999999997,3.1
723090-13754,2023-01-06T00:00:00Z,2023,1,6,209.99999999999997,3.6
723090-13754,2023-01-06T01:00:00Z,2023,1,6,220,3.6
723090-13754,2023-01-06T02:00:00Z,2023,1,6,230,3.6
723090-13754,2023-01-06T03:00:00Z,2023,1,6,239.99999999999994,4.1
723090-13754,2023-01-06T04:00:00Z,2023,1,6,239.99999999999994,4.6
723090-13754,2023-01-06T05:00:00Z,2023,1,6,249.99999999999994,5.1
723090-13754,2023-01-06T06:00:00Z,2023,1,6,239.99999999999994,5.1
723090-13754,2023-01-06T07:00:00Z,2023,1,6,249.99999999999994,5.1
723090-13754,2023-01-06T08:00:00Z,2023,1,6,260,6.7
723090-13754,2023-01-06T09:00:00Z,2023,1,6,260,5.1
723090-13754,2023-01-06T10:00:00Z,2023,1,6,260,4.6
723090-13754,2023-01-06T11:00:00Z,2023,1,6,260,4.6
723090-13754,2023-01-06T12:00:00Z,2023,1,6,270,4.6
723090-13754,2023-01-06T13:00:00Z,2023,1,6,290,4.1
723090-13754,2023-01-06T14:00:00Z,2023,1,6,300,5.1
723090-13754,2023-01-06T15:00:00Z,2023,1,6,310,3.6
723090-13754,2023-01-06T16:00:00Z,2023,1,6,280,4.1
723090-13754,2023-01-06T17:00:00Z,2023,1,6,290,3.6
723090-13754,2023-01-06T18:00:00Z,2023,1,6,290,6.7
723090-13754,2023-01-06T19:00:00Z,2023,1,6,280,5.1
723090-13754,2023-01-06T20:00:00Z,2023,1,6,300,4.6
723090-13754,2023-01-06T21:00:00Z,2023,1,6,290,4.1
723090-13754,2023-01-06T22:00:00Z,2023,1,6,290,3.1
723090-13754,2023-01-06T23:00:00Z,2023,1,6,290,2.6
723090-13754,2023-01-07T00:00:00Z,2023,1,7,290,1.5
723090-13754,2023-01-07T01:00:00Z,2023,1,7,290,2.1
723090-13754,2023-01-07T02:00:00Z,2023,1,7,239.99999999999994,2.1
723090-13754,2023-01-07T03:00:00Z,2023,1,7,NA,0
723090-13754,2023-01-07T04:00:00Z,2023,1,7,NA,0
723090-13754,2023-01-07T05:00:00Z,2023,1,7,NA,0
723090-13754,2023-01-07T06:00:00Z,2023,1,7,NA,0
723090-13754,2023-01-07T07:00:00Z,2023,1,7,NA,0
723090-13754,2023-01-07T08:00:00Z,2023,1,7,NA,0
723090-13754,2023-01-07T09:00:00Z,2023,1,7,310,1.5
723090-13754,2023-01-07T10:00:00Z,2023,1,7,330,2.6
723090-13754,2023-01-07T11:00:00Z,2023,1,7,360,1.5
723090-13754,2023-01-07T12:00:00Z,2023,1,7,360,3.1
723090-13754,2023-01-07T13:00:00Z,2023,1,7,360,3.6
723090-13754,2023-01-07T14:00:00Z,2023,1,7,40,1.5
723090-13754,2023-01-07T15:00:00Z,2023,1,7,10.000000000000002,2.1
723090-13754,2023-01-07T16:00:00Z,2023,1,7,330,4.1
723090-13754,2023-01-07T17:00:00Z,2023,1,7,310,3.1
723090-13754,2023-01-07T18:00:00Z,2023,1,7,10,4.1
723090-13754,2023-01-07T19:00:00Z,2023,1,7,349.99999999999994,3.1
723090-13754,2023-01-07T20:00:00Z,2023,1,7,360,2.6
723090-13754,2023-01-07T21:00:00Z,2023,1,7,270,2.1
723090-13754,2023-01-07T22:00:00Z,2023,1,7,NA,0
723090-13754,2023-01-07T23:00:00Z,2023,1,7,NA,0
